City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,seoul,37.57,126.98,51.8,43,1,3.74,KR,1585690037
149,cherskiy,68.75,161.3,-2.06,91,80,8.99,RU,1585689980
150,nikki,9.94,3.21,91.96,27,67,4.85,BJ,1585690205
151,tuktoyaktuk,69.45,-133.04,8.6,60,40,19.46,CA,1585690206
152,tiksi,71.69,128.87,-5.22,87,100,4.23,RU,1585690030
153,tsiroanomandidy,-18.77,46.03,66.88,71,0,0.43,MG,1585690206
154,grindavik,63.84,-22.43,37.4,80,75,21.92,IS,1585690206
155,pisco,-13.7,-76.22,72.0,30,75,5.82,PE,1585690207
156,geraldton,-28.77,114.6,62.6,82,65,9.17,AU,1585690207
157,ossora,59.24,163.07,12.85,91,0,6.91,RU,1585690207
158,cidreira,-30.18,-50.21,74.84,81,99,13.53,BR,1585690207
159,taoudenni,22.68,-3.98,81.28,13,82,8.79,ML,1585690208
160,bluff,-46.6,168.33,51.01,98,31,1.01,NZ,1585690208
161,kununurra,-15.77,128.73,75.2,88,13,3.78,AU,1585690208
162,hambantota,6.12,81.12,78.28,78,15,10.63,LK,1585690208
163,acapulco,16.86,-99.89,87.8,70,5,8.05,MX,1585690209
164,yulara,-25.24,130.99,68.0,88,96,4.7,AU,1585690209
165,jadu,31.95,12.03,59.14,34,19,6.62,LY,1585690209
166,alice springs,-23.7,133.88,69.8,83,40,5.82,AU,1585689996
167,quatre cocos,-20.21,57.76,78.01,94,20,2.24,MU,1585690209
168,firminopolis,-16.58,-50.3,76.41,68,41,2.48,BR,1585690210
169,iquique,-20.22,-70.14,71.6,64,15,20.8,CL,1585690210
170,kichera,55.94,110.1,30.02,81,100,8.28,RU,1585690211
171,camana,-16.62,-72.71,74.37,69,97,7.38,PE,1585690211
172,camacha,33.08,-16.33,60.8,62,20,13.87,PT,1585690212
173,sabha,27.04,14.43,67.73,21,59,11.92,LY,1585690212
174,caravelas,-17.71,-39.25,79.43,84,77,9.01,BR,1585690212
175,maniitsoq,65.42,-52.9,9.21,90,100,11.3,GL,1585689941
176,dwarka,22.24,68.97,75.74,87,0,14.63,IN,1585690213
177,luis moya,22.43,-102.25,80.6,30,75,5.82,MX,1585690213
178,wanaka,-44.7,169.15,46.0,86,46,1.01,NZ,1585690213
179,bud,39.45,-86.18,45.0,70,90,8.05,US,1585690214
180,manggar,-2.88,108.27,80.28,81,80,4.65,ID,1585690214
181,tura,25.52,90.22,68.49,26,0,1.74,IN,1585689940
182,sioux lookout,50.1,-91.92,51.8,20,20,2.24,CA,1585690214
183,fare,-16.7,-151.02,83.3,76,0,10.67,PF,1585690215
184,novo aripuana,-5.12,-60.38,82.92,84,100,1.21,BR,1585690215
185,la candelaria,9.69,-63.4,90.93,35,56,10.83,VE,1585690215
186,narsaq,60.92,-46.05,35.6,74,20,5.82,GL,1585690160
187,port lincoln,-34.73,135.87,62.56,76,100,5.64,AU,1585690049
